iteration,epoch,train_loss,test_loss,test_best_loss,test_iou,test_best_iou
40000.0,10.0,0.0019392362086218782,0.0031023934608170886,0.0031023934608170886,0.8538743257522583,0.8538743257522583
50000.0,13.0,0.001704180173925124,0.0024751273125954098,0.0024751273125954098,0.865985095500946,0.865985095500946
60000.0,15.0,0.0017467070756829344,0.00251984726374548,0.0024751273125954098,0.8656656742095947,0.865985095500946
70000.0,18.0,0.0015324793673644308,0.002310533075937061,0.002310533075937061,0.8714141249656677,0.8714141249656677
80000.0,21.0,0.0015390388217347208,0.002254423161793966,0.002254423161793966,0.8740149140357971,0.8740149140357971
90000.0,23.0,0.001456028508808231,0.002273651898475901,0.002254423161793966,0.8726160526275635,0.8740149140357971
100000.0,26.0,0.0014143175388744566,0.002143070925728982,0.002143070925728982,0.8741022944450378,0.8741022944450378
110000.0,28.0,0.0014041185827518348,0.0021693888166247725,0.002143070925728982,0.8750829100608826,0.8750829100608826
120000.0,31.0,0.0013698414344980848,0.0023671615791122,0.002143070925728982,0.8678765296936035,0.8750829100608826
130000.0,34.0,0.0012998391648579855,0.00204783173407822,0.00204783173407822,0.8790200352668762,0.8790200352668762
140000.0,36.0,0.0013186273617320694,0.002084307892854178,0.00204783173407822,0.878026008605957,0.8790200352668762
150000.0,39.0,0.0012731405909871684,0.002092663916653412,0.00204783173407822,0.8778152465820312,0.8790200352668762
160000.0,41.0,0.001206972462736303,0.0020072480375641203,0.0020072480375641203,0.8813517689704895,0.8813517689704895
170000.0,44.0,0.0012234579147771,0.0020097060165929948,0.0020072480375641203,0.8818659782409668,0.8818659782409668
180000.0,47.0,0.001215294682304375,0.0019525487021494951,0.0019525487021494951,0.8815414905548096,0.8818659782409668
190000.0,49.0,0.0011935446051647887,0.001980080423628141,0.0019525487021494951,0.8809778690338135,0.8818659782409668
200000.0,52.0,0.0011581195895851125,0.001962081682303016,0.0019525487021494951,0.8831312656402588,0.8831312656402588
210000.0,54.0,0.0011757663008465898,0.002111809941595241,0.0019525487021494951,0.8780872225761414,0.8831312656402588
220000.0,57.0,0.0011817634002072737,0.0019550753256100087,0.0019525487021494951,0.883609414100647,0.883609414100647
230000.0,60.0,0.0011164157945022452,0.0019368510358897485,0.0019368510358897485,0.8824010491371155,0.883609414100647
240000.0,62.0,0.001111298174248077,0.0019578622137403448,0.0019368510358897485,0.8831888437271118,0.883609414100647
250000.0,65.0,0.0011309939913189738,0.0019620677769321797,0.0019368510358897485,0.8829305171966553,0.883609414100647
260000.0,68.0,0.0011404114642937203,0.0019647245451023293,0.0019368510358897485,0.8836936354637146,0.8836936354637146
270000.0,70.0,0.0011257866449304857,0.002014013906678324,0.0019368510358897485,0.8827356100082397,0.8836936354637146
280000.0,73.0,0.001080470778280869,0.001909397550345882,0.001909397550345882,0.8852964639663696,0.8852964639663696
290000.0,75.0,0.001076958518693573,0.0019624772172867847,0.001909397550345882,0.8845614790916443,0.8852964639663696
300000.0,78.0,0.001067834503162885,0.0019976325986191604,0.001909397550345882,0.8834540247917175,0.8852964639663696
310000.0,81.0,0.001059190512751229,0.0019212582651184325,0.001909397550345882,0.8848884701728821,0.8852964639663696
320000.0,83.0,0.0010466237573418767,0.0018958150659371033,0.0018958150659371033,0.8861570358276367,0.8861570358276367
330000.0,86.0,0.001064125710283406,0.0019523859486099144,0.0018958150659371033,0.884975790977478,0.8861570358276367
340000.0,88.0,0.0010619371302600484,0.0019105070125890332,0.0018958150659371033,0.8834573030471802,0.8861570358276367
350000.0,91.0,0.00105139856308233,0.0018973989975487571,0.0018958150659371033,0.884872317314148,0.8861570358276367
360000.0,94.0,0.0010263409327017144,0.0018795420572916136,0.0018795420572916136,0.8844811916351318,0.8861570358276367
370000.0,96.0,0.001036706951854285,0.0019427063575298794,0.0018795420572916136,0.8851070404052734,0.8861570358276367
